X,Y,SP_ID,AGEB_ID,CVEGEO,antiguedad,abastecimi,capacidad,cal_agua,contaminat,crec_urb,desp_agua,desv_agua,efic_serv,elevacion,escasez,falla_in,Falta_in,falta_dren,gasto,health,ingreso,monto,obstruc,pet_del_dr,pet_usr_d,poblacion,ponding,pres_hid,CM,estado,municipio,KMEANS5,PRECIP,ACUIF
-99.2389755525264,19.5426615276101,98,795,"""1501300010236""",18,200,9999,34,25,100,91,0,63,0,0.0625,0.129,0.0709,1,0,9999,0.86187,77,81,0.351943,0,6910,9999,80,0,15,13,9999,9999,2
-99.2403581977965,19.5331288852355,99,796,"""1501300010255""",18,233,9999,37,59,96.55,57,0,44,0,0.0625,0.128,0.0604,1,0,9999,0.86147,12,93,0.351943,0,5853,9999,32,0,15,13,9999,9999,2
-99.2356987801945,19.6016754997407,100,797,"""1501300010274""",18,61,9999,58,47,100,27,0,49,0.1,0.0625,0.135,0.0435,1,0,9999,0.64429,20,42,0.351943,0,5586,9999,96,0,15,13,9999,9999,3
-99.215272537616,19.5783184549803,101,798,"""1501300010344""",18,66,9999,75,67,100,37,0,97,0,0.0625,0.131,0.0353,1,0,9999,0.6968,4,61,0.351943,0,1714,9999,5,0,15,13,9999,9999,2
-99.2865553327488,19.5818679948111,102,799,"""1501300010359""",9,6,9999,85,74,3.85,89,0,19,0.1,0.0625,0.033,0.0317,1,0,9999,0,68,37,0,0,0,9999,65,0,15,13,9999,9999,3
-99.2627036884512,19.5748886728972,103,800,"""1501300010363""",9,54,9999,15,21,20.38,81,0,84,0.1,0.0625,0.031,0.0386,1,0,9999,0.85663,93,98,0.351943,0,1179,9999,3,0,15,13,9999,9999,3
-99.2921125378749,19.5736503471154,104,801,"""1501300010378""",9,0,9999,53,63,0,52,0,23,0.1,0.0625,0.033,0.0383,1,0,9999,9999,29,61,0,0,0,9999,11,0,15,13,9999,9999,9999
-99.2685023823041,19.5681797949317,105,802,"""1501300010382""",18,99,9999,99,61,39.82,1,0,29,0.1,0.0625,0.132,0.0328,1,0,9999,0.71597,22,32,0.351943,0,2596,9999,22,0,15,13,9999,9999,2
-99.309026202563,19.5609970799204,106,803,"""1501300010397""",9,57,9999,15,14,0.31,43,0,61,0.2,0.0625,0.032,0.015,1,0,9999,0.96002,21,52,0.351943,0,2259,9999,14,0,15,13,9999,9999,3
-99.3047658146549,19.5476760291424,107,804,"""150130001040A""",18,354,9999,75,5,50.72,83,0,47,0.2,0.0625,0.132,0.0222,1,0,9999,0.91703,15,3,0.351943,0,6229,9999,65,0,15,13,9999,9999,9999
